          keyword numCorrect totalRows                      precision
0         concert         89       102  0.872549019607843137254901...
1     performance         42        43  0.976744186046511627906976...
2        festival         58        61  0.950819672131147540983606...
3      exhibition         64        69  0.927536231884057971014492...
4      conference         72        89  0.808988764044943820224719...
5  film screening         45        48                         0.9375
6  cultural event         32        43  0.744186046511627906976744...
